83.261.420/0007-44SC510102SC      14256 14256 NF  1  20/08/2009S               33,60               12,00N                0,00                0,00                0,00               33,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.261.420/0004-00SC510102SC      14257 14257 NF  1  20/08/2009S               33,60               12,00N                0,00                0,00                0,00               33,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.828.135/0001-02SC510102SC      14258 14258 NF  1  24/08/2009S              135,60               12,00N                0,00                0,00                0,00              135,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.749.987/0001-06SC510102SC      14259 14259 NF  1  24/08/2009S              170,00               12,00N                0,00                0,00                0,00              170,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
05.605.755/0001-33SC510102SC      14260 14260 NF  1  24/08/2009S               84,60               12,00N                0,00                0,00                0,00               84,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
03.277.259/0001-72SC510102SC      14261 14261 NF  1  24/08/2009S              373,20               12,00N                0,00                0,00                0,00              373,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0019-39SC510102SC      14262 14262 NF  1  24/08/2009S             1889,40               12,00N                0,00                0,00                0,00             1889,40                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0021-53SC510102SC      14263 14263 NF  1  24/08/2009S             2072,16               12,00N                0,00                0,00                0,00             2072,16                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0015-05SC510102SC      14264 14264 NF  1  24/08/2009S               55,08               12,00N                0,00                0,00                0,00               55,08                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.646.984/0035-59SC510102SC      14265 14265 NF  1  24/08/2009S              330,48               12,00N                0,00                0,00                0,00              330,48                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
